APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
5555024019,06/08/2017,Single Family,"1480 N SWEETZER AVE
HOLLYWOOD, CA 90069
(34.097381, -118.370846)",HOLLYWOOD,CA,90069,4,"THE MANDEL COMPANY, INC., A CALIFORNIA CORPORATION, DBA THE MANAGEMENT GROUP",Suann Maclsaac,310-566-9800,NULL,NULL,,NULL
2762037045,01/04/2017,Single Family,"18907 W BALLINGER ST
LOS ANGELES, CA 91324
(34.243882, -118.545296)",LOS ANGELES,CA,91324,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
4323012052,02/17/2017,Single Family,"1885 VETERAN
LOS ANGELES, CA 90025
(34.046841, -118.438369)",LOS ANGELES,CA,90025,5,Shellpoint Mortgage Services,Johan Correa,866-825-2174,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
7406020014,02/28/2017,Multi-Family,"24519 1/2 S AVALON BLVD
WILMINGTON, CA 90744
(33.803273, -118.263968)",WILMINGTON,CA,90744,15,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
2344015009,01/01/2017,Single Family,"5431 N FULTON AVE
LOS ANGELES, CA 91401
(34.169609, -118.422519)",LOS ANGELES,CA,91401,4,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2106008002,01/04/2017,Single Family,"7730 N QUAKERTOWN AVE
LOS ANGELES, CA 91306
",LOS ANGELES,CA,91306,3,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
6067015022,01/26/2017,Single Family,"2339 E 113TH ST
LOS ANGELES, CA 90059
(33.932438, -118.230771)",LOS ANGELES,CA,90059,15,CENTRAL MORTGAGE COMPANY,SHEILA ROELING,501-716-4810,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437
2101001008,01/05/2017,Single Family,"8157 N WHITE OAK AVE
LOS ANGELES, CA 91335
(34.219093, -118.518617)",LOS ANGELES,CA,91335,12,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc",Property Registration Property Registration,6504   INTERNATIONAL PKWY  PLANO TX 75093,813-387-1100
2168017083,01/06/2017,Single Family,"5265 N ELVIRA ROAD
LOS ANGELES, CA 91364
(34.16474, -118.602536)",LOS ANGELES,CA,91364,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
2631026015,01/31/2017,Single Family,"11826 W SNELLING ST
LOS ANGELES, CA 91352
(34.232634, -118.391078)",LOS ANGELES,CA,91352,6,BSI Financial Services,BSI SERVICES,555-555-5555,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,814-827-4661
5206006009,01/19/2017,Multi-Family,"2670 N WORKMAN ST
LOS ANGELES, CA 90031
(34.078541, -118.214456)",LOS ANGELES,CA,90031,1,"SETERUS, INC",KEVIN QUILLAN,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244
5179003019,01/09/2017,Multi-Family,"139 1/2 S DACOTAH ST
LOS ANGELES, CA 90063
(34.038415, -118.201004)",LOS ANGELES,CA,90063,14,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306
2656008009,02/10/2017,Single Family,"9534 N BURNET AVE
LOS ANGELES, CA 91343
(34.243379, -118.463149)",LOS ANGELES,CA,91343,7,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
4362019002,02/08/2017,Single Family,"332 N BEL-AIR ROAD
LOS ANGELES, CA 90077
(34.083218, -118.440036)",LOS ANGELES,CA,90077,5,"Alopama Capital, LLC",Ronald Richards,310-556-1001,NULL,NULL,,NULL
4002026008,01/26/2017,Single Family,"4670 W 62ND PL
LOS ANGELES, CA 90043
(33.982796, -118.35785)",LOS ANGELES,CA,90043,8,"The Bank of New York Mellon, Ditech Financial LLC",Ditech Financial LLC,310-777-6375,"The Harvey Group, Inc.",Joyce Essex Harvey,301  N Canon DR E Beverly HIlls CA 90210,310-777-6375
2662006015,04/10/2017,Single Family,"15625 W INDEX ST
LOS ANGELES, CA 91344
(34.275494, -118.472444)",LOS ANGELES,CA,91344,12,Fay Servicing LLC,Grace Wesson,877-338-3791,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590,877-338-3791
5036002015,01/06/2017,Multi-Family,"1415 1/2 W 38TH ST
LOS ANGELES, CA 90062
(34.017335, -118.303715)",LOS ANGELES,CA,90062,8,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306
5054002002,01/03/2017,Single Family,"1615 W 24TH ST
LOS ANGELES, CA 90007
(34.034535, -118.297968)",LOS ANGELES,CA,90007,8,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Assurant Field Services,Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728,800-468-1743
2146027064,03/14/2017,Single Family,"6222 1/2 NITA AVE
LOS ANGELES, CA 91367
(34.183857, -118.613073)",LOS ANGELES,CA,91367,3,US Bank National Association,US BANK National Association,612-973-2749,Safeguard,Safeguard Properties,6266   Nita AVE  Woodland Hills CA 91367,216-739-2900
6074022021,02/07/2017,Multi-Family,"234 W 111TH PL
LOS ANGELES, CA 90061
(33.933913, -118.277422)",LOS ANGELES,CA,90061,8,vanderbilt mortgage,Cheryl Hodge,865-380-3000,"Arlo Nugent, GRI",Arlo Nugent,7817   Ivanhoe AVE  La Jolla CA 92037,858-405-0063
2040009018,04/13/2017,Single Family,"5649 N FAUST AVE
LOS ANGELES, CA 91367
(34.173352, -118.619962)",LOS ANGELES,CA,91367,3,Fay Servicing LLC,Grace Wesson,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100
2629028027,03/31/2017,Single Family,"9170 N MOREHART AVE
LOS ANGELES, CA 91331
(34.236236, -118.409786)",LOS ANGELES,CA,91331,6,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
2637022003,04/17/2017,Single Family,"8554 N MINUET PL
LOS ANGELES, CA 91402
(34.226188, -118.43367)",LOS ANGELES,CA,91402,6,BROUGHAM FUND I TRUST,Registration Department,814-827-4661,BSI Financial,registrations dept,5716   Corsa AVE  Westlake Village CA 91362,814-827-4661
5516024016,01/30/2017,Single Family,"250 S ST ANDREWS PL
LOS ANGELES, CA 90004
(34.069661, -118.31161)",LOS ANGELES,CA,90004,4,bayview,Willie Walton,714-848-7920,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567
2316014031,04/10/2017,Single Family,"7400 N TROOST AVE
LOS ANGELES, CA 91605
(34.205229, -118.386645)",LOS ANGELES,CA,91605,2,Fay Servicing LLC,Grace Wesson,877-338-3791,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590,877-338-3791
5149038066,02/06/2017,Single Family,"416 S SPRING ST
LOS ANGELES, CA 90013
(34.048497, -118.248594)",LOS ANGELES,CA,90013,14,PNC MORTGAGE PRESALE,THOMAS DAY,937-910-1200,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
2731013019,05/01/2017,Single Family,"10424 N RESEDA BLVD
LOS ANGELES, CA 91326
(34.26, -118.536097)",LOS ANGELES,CA,91326,12,CIT Bank,Leah Collins,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,909-289-1453
2666001015,01/04/2017,Single Family,"16121 W HARVEST ST
LOS ANGELES, CA 91344
(34.278247, -118.483265)",LOS ANGELES,CA,91344,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
2327019029,03/17/2017,Single Family,"7054 N ETHEL AVE
LOS ANGELES, CA 91605
(34.199079, -118.418149)",LOS ANGELES,CA,91605,2,Fay Servicing LLC,Grace Wesson,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100
6051001015,06/27/2017,Single Family,"10332 S AVALON BLVD
LOS ANGELES, CA 90003
(33.94267, -118.264939)",LOS ANGELES,CA,90003,8,"HSBC Bank, C/O Select Portfolio Servicing",N/A N/A,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
4405037002,01/26/2017,Single Family,"247 S CARMELINA AVE
LOS ANGELES, CA 90049
(34.053974, -118.47976)",LOS ANGELES,CA,90049,11,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125,800-852-8306
4286008004,03/07/2017,Single Family,"708 S HAMPTON DR
LOS ANGELES, CA 90291
(33.993983, -118.474485)",LOS ANGELES,CA,90291,11,"O.K.,LLC",Oleg Khersonsky,818-322-0587,"O.K.,LLC",Oleg Khersonsky,17337   VENTURA BLVD 318 ENCINO CA 91316,818-322-0587
7421002015,02/02/2017,Single Family,"1737 N RAVENNA AVE
LOS ANGELES, CA 90744
(33.798303, -118.269375)",LOS ANGELES,CA,90744,15,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
2631033057,01/06/2017,Single Family,"8989 N CAYUGA AVE
LOS ANGELES, CA 91352
(34.232619, -118.394238)",LOS ANGELES,CA,91352,6,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-804-7437
2305020003,05/12/2017,Single Family,"7736 N BELLAIRE AVE
LOS ANGELES, CA 91605
(34.211359, -118.410673)",LOS ANGELES,CA,91605,2,"Financial Freedom, a division of CIT bank.",Dan Stack,800-441-4428,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431
2128002046,04/05/2017,Single Family,"19208 HAMLIN
LOS ANGELES, CA 91351
(34.188633, -118.550856)",LOS ANGELES,CA,91351,3,Fay Servicing LLC,Grace Wesson,877-338-3791,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590,877-338-3791
5440018014,01/16/2017,Multi-Family,"2223 N SILVER RIDGE AVE
LOS ANGELES, CA 90039
(34.09618, -118.255042)",LOS ANGELES,CA,90039,13,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Remedy Field Services, Inc",Aaron Davitian,15615   Alton PKWY 450 Irvine CA 92618,619-862-0918
5479027001,03/22/2017,Single Family,"5157 E STRATFORD ROAD
LOS ANGELES, CA 90042
(34.122435, -118.202318)",LOS ANGELES,CA,90042,14,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097
2032001006,04/10/2017,Single Family,"24586 W KITTRIDGE ST
LOS ANGELES, CA 91307
(34.189956, -118.661783)",LOS ANGELES,CA,91307,0,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
6066015081,05/05/2017,Single Family,"2270 E 103RD ST
LOS ANGELES, CA 90002
(33.943102, -118.23095)",LOS ANGELES,CA,90002,15,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
2020023010,01/12/2017,Single Family,"7821 N BOBBYBOYAR AVE
LOS ANGELES, CA 93063
",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084
5475001011,04/03/2017,Single Family,"1209 N EL PASO DR
LOS ANGELES, CA 90065
(34.117584, -118.217361)",LOS ANGELES,CA,90065,1,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
2505018048,04/18/2017,Single Family,"14466 W ORO GRANDE ST
LOS ANGELES, CA 91342
(34.304654, -118.448009)",LOS ANGELES,CA,91342,7,PHH Mortgage,PHH Mortgage,856-917-3308,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590,877-338-3791
2726018026,01/05/2017,Single Family,"19420 W ROMAR ST
LOS ANGELES, CA 91324
(34.254664, -118.556646)",LOS ANGELES,CA,91324,12,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480
5520015016,01/11/2017,Multi-Family,"401 N KENMORE AVE
LOS ANGELES, CA 90004
(34.077877, -118.296977)",LOS ANGELES,CA,90004,13,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801
5577030001,01/31/2017,Vacant Residential,"2401 N SAN MARCO DR
LOS ANGELES, CA 90068
(34.114798, -118.331212)",LOS ANGELES,CA,90068,4,Gerald Feldman,Gerald Feldman,310-203-5430,NULL,NULL,,NULL
6017005015,01/19/2017,Multi-Family,"2147 W 74TH ST
LOS ANGELES, CA 90047
(33.972777, -118.317221)",LOS ANGELES,CA,90047,8,Provident Funding Associates L.P.,Edith Cepeda,800-696-8199,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889
2157003055,03/13/2017,Single Family,"18319 W COLLINS ST
LOS ANGELES, CA 91356
(34.174886, -118.531812)",LOS ANGELES,CA,91356,3,"SETERUS, INC",KEVIN QUILLAN,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244
5019013025,03/10/2017,Multi-Family,"710 1/2 W 42ND PL
LOS ANGELES, CA 90037
(34.006208, -118.286247)",LOS ANGELES,CA,90037,9,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778
2045009029,03/13/2017,Single Family,"6115 N DILL PL
LOS ANGELES, CA 91367
(34.181251, -118.647011)",LOS ANGELES,CA,91367,3,"SETERUS, INC",KEVIN QUILLAN,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244
6003032014,01/16/2017,Multi-Family,"1066 W GAGE AVE
LOS ANGELES, CA 90044
(33.982315, -118.293382)",LOS ANGELES,CA,90044,8,"Wilmington Trust Co, as Trustee, c/o Select Portfolio Servicing",Code Violation,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097
2507013002,01/18/2017,Single Family,"14415 W BEAVER ST
LOS ANGELES, CA 91342
(34.295383, -118.447512)",LOS ANGELES,CA,91342,7,Bank of America,VPR Department,800-669-2443,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205
2785016029,01/05/2017,Single Family,"18606 W COMMUNITY ST
LOS ANGELES, CA 91324
(34.222953, -118.538604)",LOS ANGELES,CA,91324,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743
2032019025,01/04/2017,Single Family,"6043 N MAURY AVE
LOS ANGELES, CA 91367
(34.180719, -118.660917)",LOS ANGELES,CA,91367,3,Capital One,Linda Coy,800-468-1743,"AFAS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,909-289-1453
6075020022,03/03/2017,Single Family,"541 W 109TH PL
LOS ANGELES, CA 90044
(33.936487, -118.284115)",LOS ANGELES,CA,90044,8,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,JSM ENTERPRISES,Mortgage Contracting,1091   7TH ST A CALMESA CA 92320,813-387-1100
2341023005,01/04/2017,Single Family,"12826 W MARTHA ST
LOS ANGELES, CA 91607
(34.173015, -118.412693)",LOS ANGELES,CA,91607,2,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Assurant Field Services,Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728,512-833-8101
5188009032,05/13/2017,Single Family,"3719 E LEE ST
LOS ANGELES, CA 90023
(34.022453, -118.193544)",LOS ANGELES,CA,90023,14,Nationstar Mortgage LLC,Code Compliance,888-480-2432,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611
2727003022,01/31/2017,Single Family,"22500 W NEEDLES ST
LOS ANGELES, CA 91311
(34.24678, -118.617218)",LOS ANGELES,CA,91311,12,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125,877-340-0060
4371019037,05/16/2017,Vacant Residential,"993 N BEVERLY GLEN BLVD
LOS ANGELES, CA 90077
(34.093342, -118.439616)",LOS ANGELES,CA,90077,5,Mark Beychok,Ken Nathanson,310-247-1258,NULL,NULL,,NULL
